Economic Sector,Business Sector,Industry Group,Activity
,,,Personal Music Players
,,,Electronic Books
,,,Mobile Device Component Assembly
,,,Household Electronics (NEC)
,,,Photographic Equipment
,,,TV & Video
,,,Home Audio
,,,Consumer Electronic Wholesale
,,Integrated Hardware & Software,Integrated Hardware & Software
,Software & IT Services,Software & IT Services,IT Services & Consulting (NEC)
,,,Computer Programming
,,,Computer Training
,,,Technology Consulting & Outsourcing Services
,,,IT Testing Services
,,,Cloud Computing Services
,,,Machine Learning & Artificial Intelligence (AI) Services
,,,Software (NEC)
,,,System Software
,,,Application Software
,,,Enterprise Software
,,,Mobile Application Software
,,,Mobile System Software
,,,Programming Software & Testing Tools
,,,Server & Database Software
,,,Security Software
,,,Online Services (NEC)
,,,Search Engines
,,,Social Media & Networking
,,,E-commerce & Auction Services
,,,Content & Site Management Services
,,,Internet Security & Transactions Services
,,,Internet Gaming
,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech) (NEC)
,,,Business to Business
,,,Business to Consumer
,,,Consumer to Consumer
,,,Crowd Collaboration (NEC)
,,,Crowdfinancing & Crowdfunding
,,,Crowdsourcing Platforms
,,,Blockchain & Cryptocurrency (NEC)
,,,Cryptocurrency Trading Platforms (Exchanges)
,,,Blockchain Technology (Software)
,,,Cryptocurrency Hardware
,,,Cryptocurrency Mining
,,,Miscellaneous Fintech Infrastructure
,Telecommunications Services,Telecommunications Services,Integrated Telecommunications Services (NEC)
,,,Wired Telecommunications Carriers
,,,Telecommunications Resellers
,,,Internet Service Providers
,,,Telecommunications Network Infrastructure
,,,VOIP Services
,,,Wireless Telecommunications Services (NEC)
,,,Alternative Communications Services
,,,Satellite Service Operators
,,,Wi-Fi & Wi-Max Providers
,,,Wireless Telecoms Service Providers
Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC)
,,,Fossil Fuel Electric Utilities
,,,Nuclear Utilities
,,,Power Charging Stations
,,,Alternative Electric Utilities
,,,Hydroelectric & Tidal Utilities
,,,Solar Electric Utilities
,,,Wind Electric Utilities
,,,Biomass & Waste to Energy Electric Utilities
,,,Geothermal Electric Utilities
,,,Independent Power Producers (NEC)
,,,Fossil Fuel IPPs
,,,Renewable IPPs
,,,Nuclear IPPs
,,Natural Gas Utilities,Natural Gas Utilities (NEC)
,,,Natural Gas Distribution
,,Water & Related Utilities,Water & Related Utilities (NEC)
,,,Water Supply & Irrigation Systems
,,,Sewage Treatment Facilities
,,,Heating & Air-Conditioning Supply
,,Multiline Utilities,Multiline Utilities
Real Estate,Real Estate,Real Estate Operations,"Real Estate Rental, Development & Operations (NEC)"
,,,Office Real Estate Rental & Development
,,,Retail Real Estate Rental & Development
,,,Industrial Real Estate Rental & Development
,,,Residential Real Estate Rental & Development
,,,Real Estate Services (NEC)
,,,Office Real Estate Services
,,,Retail Real Estate Services
,,,Industrial Real Estate Services
,,,Residential Real Estate Services
,,Residential & Commercial REITs,Diversified REITs
,,,Commercial REITs (NEC)
,,,Office REITs
,,,Retail REITs
,,,Industrial REITs
,,,Residential REITs
,,,Specialized REITs (NEC)
,,,Healthcare REITs
,,,Hospitality REITs
,,,Self-Storage REITs
,,,Timber REITs
,,,Mortgage REITs
,,,Islamic REITs
"Institutions, Associations & Organizations","Institutions, Associations & Organizations","Institutions, Associations & Organizations",Religious Organizations
,,,Civic & Social Organizations
,,,Environmental Organizations
,,,Charity Organizations
,,,Professional Organizations (NEC)
